# susceptible,infective,remove,dead
0.6000,0.3000,0.1000,0.0000
0.6000,0.3000,0.1000,0.0000
0.5900,0.3100,0.1000,0.0000
0.5800,0.2900,0.1300,0.0000
0.5800,0.2900,0.1300,0.0000
0.5700,0.2700,0.1600,0.0000
0.6000,0.2400,0.1600,0.0000
0.6300,0.2200,0.1400,0.0100
0.6400,0.2100,0.1300,0.0200
0.6300,0.2100,0.1400,0.0200
0.6500,0.1900,0.1400,0.0200
0.6700,0.1600,0.1500,0.0200
0.6700,0.1600,0.1500,0.0200
0.7000,0.1200,0.1600,0.0200
0.6900,0.1200,0.1700,0.0200
0.7100,0.1000,0.1700,0.0200
0.7400,0.0900,0.1500,0.0200
0.7300,0.1000,0.1500,0.0200
0.7200,0.1200,0.1400,0.0200
0.7400,0.1000,0.1400,0.0200
0.7600,0.1000,0.1200,0.0200
0.7600,0.0900,0.1300,0.0200
0.7700,0.0900,0.1200,0.0200
0.7800,0.0900,0.1100,0.0200
0.8000,0.0700,0.1100,0.0200
0.8300,0.0500,0.1000,0.0200
0.8500,0.0500,0.0700,0.0300
0.8600,0.0300,0.0800,0.0300
0.8800,0.0200,0.0700,0.0300
0.9000,0.0200,0.0500,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0300,0.0400,0.0300
0.9000,0.0200,0.0500,0.0300
0.9100,0.0200,0.0400,0.0300
0.9100,0.0300,0.0300,0.0300
0.9200,0.0300,0.0200,0.0300
0.9300,0.0300,0.0100,0.0300
0.9300,0.0300,0.0100,0.0300
0.9300,0.0200,0.0200,0.0300
0.9300,0.0200,0.0200,0.0300
0.9300,0.0100,0.0300,0.0300
0.9400,0.0100,0.0200,0.0300
0.9400,0.0100,0.0200,0.0300
0.9400,0.0100,0.0200,0.0300
0.9400,0.0100,0.0200,0.0300
0.9400,0.0100,0.0200,0.0300
